name,team_key,manager_name,league_id,league_season,player_id
Younghoe? Very Koo,399.l.301184.t.3,Alex Zara,2,2020,33
BAGG UP TERRY,399.l.301184.t.5,Brian,2,2020,37
nate's Dazzling Team,399.l.301184.t.11,nate,2,2020,46
BigBootyBashers,399.l.301184.t.12,Zach,2,2020,43
tegridy,399.l.301184.t.6,Jeff Big,2,2020,39
Patriots 3.0,399.l.301184.t.4,august,2,2020,44
CeeDeez Nuts,399.l.301184.t.1,WH,2,2020,42
Hip Hip Murray,399.l.301184.t.9,Joe,2,2020,40
Nate's Dazzling Team,406.l.151652.t.8,nate,2,2021,46
BigBootyBashers,406.l.151652.t.4,Zach,2,2021,43
HERE COMES AUSTIN RIVERRRRRSSS,406.l.151652.t.9,Jeff Big,2,2021,39
Kupp check,406.l.151652.t.10,Alex Zara,2,2021,33
Galloping Gobblers,406.l.151652.t.6,Steven,2,2021,41
BAGG UP NAJEE,406.l.151652.t.3,Brian,2,2021,37
.,406.l.151652.t.1,Tony F,2,2021,9
Andrew's Team,406.l.151652.t.2,Andrew,2,2021,34
Patriots 3.0,406.l.151652.t.11,carter,2,2021,45
Got Trades?,406.l.151652.t.7,Ben,2,2021,36
Pwn Solo,406.l.151652.t.5,WH,2,2021,42
Hym Newton,406.l.151652.t.12,hyman Cohen,2,2021,47
BigBootyBashers,414.l.598560.t.4,Zach,2,2022,43
Stefon Baratheon,414.l.598560.t.5,WH,2,2022,42
BAGG UP,414.l.598560.t.3,Brian,2,2022,37
aviato,414.l.598560.t.9,Jeff Big,2,2022,39
Galloping Gobblers,414.l.598560.t.6,Steven,2,2022,41
the assman,414.l.598560.t.1,Tony F,2,2022,9
Kirkland Quality,414.l.598560.t.2,Andrew,2,2022,34
Got Trades?,414.l.598560.t.7,Ben,2,2022,36
Tony Flybys,414.l.598560.t.8,Anthony M,2,2022,35
Michael Vick’s dog,414.l.598560.t.11,Cougar,2,2022,4
Dawsons Creek,414.l.598560.t.10,Alex Zara,2,2022,33
Hym Newton,414.l.598560.t.12,hyman Cohen,2,2022,47
Walmart Quality,423.l.653974.t.2,Andrew,2,2023,34
Lil’Turkey Gobbler,423.l.653974.t.6,Steven,2,2023,41
BigBootyBashers,423.l.653974.t.4,Zach,2,2023,43
Fields Day,423.l.653974.t.10,Alex Zara,2,2023,33
tres comas,423.l.653974.t.9,Jeff Big,2,2023,39
Tony Flybys,423.l.653974.t.8,Anthony M,2,2023,35
Breece’s Pieces,423.l.653974.t.11,Cougar,2,2023,38
Taylor Swift Fan,423.l.653974.t.12,hyman Cohen,2,2023,47
TIT BOI,423.l.653974.t.1,Tony F,2,2023,9
Bijan Mustard,423.l.653974.t.5,WH,2,2023,42
Got Trades?,423.l.653974.t.7,Ben,2,2023,36
BAGG UP,423.l.653974.t.3,Brian,2,2023,37
